"Name","Width","Height","Bytes","Path"
"00-20 يونيو 2026، 02_34_42 م.png","1448","1086","2847792","C:\xampp\htdocs\MMC\assets\images\real-source\00-20 يونيو 2026، 02_34_42 م.png"
"01-20 يونيو 2026، 02_34_44 م.png","1448","1086","2880315","C:\xampp\htdocs\MMC\assets\images\real-source\01-20 يونيو 2026، 02_34_44 م.png"
"02-ChatGPT Image 20 يونيو 2026، 02_28_56 م (2).png","1448","1086","3155339","C:\xampp\htdocs\MMC\assets\images\real-source\02-ChatGPT Image 20 يونيو 2026، 02_28_56 م (2).png"
"03-ChatGPT Image 20 يونيو 2026، 02_28_57 م (3).png","1448","1086","2448432","C:\xampp\htdocs\MMC\assets\images\real-source\03-ChatGPT Image 20 يونيو 2026، 02_28_57 م (3).png"
"04-ChatGPT Image 20 يونيو 2026، 02_28_57 م (4).png","1448","1086","2440398","C:\xampp\htdocs\MMC\assets\images\real-source\04-ChatGPT Image 20 يونيو 2026، 02_28_57 م (4).png"
"05-ChatGPT Image 20 يونيو 2026، 02_28_58 م (5).png","1448","1086","3298670","C:\xampp\htdocs\MMC\assets\images\real-source\05-ChatGPT Image 20 يونيو 2026، 02_28_58 م (5).png"
"06-image_208_safe_4k.png","3840","2670","11774540","C:\xampp\htdocs\MMC\assets\images\real-source\06-image_208_safe_4k.png"
"07-image_209_safe_4k.png","3840","2948","6385200","C:\xampp\htdocs\MMC\assets\images\real-source\07-image_209_safe_4k.png"
"08-image_210_safe_4k.png","3840","2932","7885568","C:\xampp\htdocs\MMC\assets\images\real-source\08-image_210_safe_4k.png"
"09-image_211_safe_4k.png","3840","2945","6030754","C:\xampp\htdocs\MMC\assets\images\real-source\09-image_211_safe_4k.png"
"10-image_212_safe_4k.png","3840","2929","8366009","C:\xampp\htdocs\MMC\assets\images\real-source\10-image_212_safe_4k.png"
"11-image_213_safe_4k.png","3840","2929","7435675","C:\xampp\htdocs\MMC\assets\images\real-source\11-image_213_safe_4k.png"
"12-image_214_safe_4k.png","3840","2924","10927819","C:\xampp\htdocs\MMC\assets\images\real-source\12-image_214_safe_4k.png"
"13-image_215_safe_4k.png","3840","2932","5553723","C:\xampp\htdocs\MMC\assets\images\real-source\13-image_215_safe_4k.png"
"14-image_216_safe_4k.png","3840","2929","5733110","C:\xampp\htdocs\MMC\assets\images\real-source\14-image_216_safe_4k.png"
"15-image_217_safe_4k.png","3840","2931","8350208","C:\xampp\htdocs\MMC\assets\images\real-source\15-image_217_safe_4k.png"
"16-image_218_safe_4k.png","3840","2858","9965934","C:\xampp\htdocs\MMC\assets\images\real-source\16-image_218_safe_4k.png"
"17-image_219_safe_4k.png","3840","2940","5945045","C:\xampp\htdocs\MMC\assets\images\real-source\17-image_219_safe_4k.png"
"18-image_220_safe_4k.png","3840","2916","5696572","C:\xampp\htdocs\MMC\assets\images\real-source\18-image_220_safe_4k.png"
"19-image_221_safe_4k.png","3840","2932","4834408","C:\xampp\htdocs\MMC\assets\images\real-source\19-image_221_safe_4k.png"
"20-image_222_safe_4k.png","3840","2653","5961118","C:\xampp\htdocs\MMC\assets\images\real-source\20-image_222_safe_4k.png"
"21-image_223_safe_4k.png","3840","2935","7009542","C:\xampp\htdocs\MMC\assets\images\real-source\21-image_223_safe_4k.png"
"22-image_224_safe_4k.png","3840","2960","9775099","C:\xampp\htdocs\MMC\assets\images\real-source\22-image_224_safe_4k.png"
"23-image_225_safe_4k.png","3840","2998","10402585","C:\xampp\htdocs\MMC\assets\images\real-source\23-image_225_safe_4k.png"
"24-image_226_safe_4k.png","3840","2927","7068049","C:\xampp\htdocs\MMC\assets\images\real-source\24-image_226_safe_4k.png"
"25-image_227_safe_4k.png","3840","2923","6569441","C:\xampp\htdocs\MMC\assets\images\real-source\25-image_227_safe_4k.png"
"26-image_228_safe_4k.png","3840","2921","4346822","C:\xampp\htdocs\MMC\assets\images\real-source\26-image_228_safe_4k.png"
"27-image_229_safe_4k.png","3840","2929","5375747","C:\xampp\htdocs\MMC\assets\images\real-source\27-image_229_safe_4k.png"
"28-image_230_safe_4k.png","3840","2673","4557509","C:\xampp\htdocs\MMC\assets\images\real-source\28-image_230_safe_4k.png"
"29-image_231_safe_4k.png","3840","2922","4122926","C:\xampp\htdocs\MMC\assets\images\real-source\29-image_231_safe_4k.png"
"30-image_232_safe_4k.png","3840","2919","4113876","C:\xampp\htdocs\MMC\assets\images\real-source\30-image_232_safe_4k.png"
"31-image_233_safe_4k.png","3840","2922","7342605","C:\xampp\htdocs\MMC\assets\images\real-source\31-image_233_safe_4k.png"
"32-image_234_safe_4k.png","3840","2813","5545836","C:\xampp\htdocs\MMC\assets\images\real-source\32-image_234_safe_4k.png"
"33-image_235_safe_4k.png","3840","2944","5391905","C:\xampp\htdocs\MMC\assets\images\real-source\33-image_235_safe_4k.png"
"34-image_236_safe_4k.png","3840","2940","6973496","C:\xampp\htdocs\MMC\assets\images\real-source\34-image_236_safe_4k.png"
"35-image_237_safe_4k.png","3840","2931","5482663","C:\xampp\htdocs\MMC\assets\images\real-source\35-image_237_safe_4k.png"
"36-image_238_safe_4k.png","3840","2932","4386744","C:\xampp\htdocs\MMC\assets\images\real-source\36-image_238_safe_4k.png"
"37-image_240_safe_4k.png","3840","2975","6165715","C:\xampp\htdocs\MMC\assets\images\real-source\37-image_240_safe_4k.png"
"38-image_241_safe_4k.png","3840","2934","5961260","C:\xampp\htdocs\MMC\assets\images\real-source\38-image_241_safe_4k.png"
"39-image_242_safe_4k.png","3840","2836","5460001","C:\xampp\htdocs\MMC\assets\images\real-source\39-image_242_safe_4k.png"
"40-image_243_safe_4k.png","3840","2900","8287389","C:\xampp\htdocs\MMC\assets\images\real-source\40-image_243_safe_4k.png"
"41-image_244_safe_4k.png","3840","2921","9665234","C:\xampp\htdocs\MMC\assets\images\real-source\41-image_244_safe_4k.png"
"42-image_245_safe_4k.png","3840","2710","6601817","C:\xampp\htdocs\MMC\assets\images\real-source\42-image_245_safe_4k.png"
"43-image_246_safe_4k.png","3840","2758","5766729","C:\xampp\htdocs\MMC\assets\images\real-source\43-image_246_safe_4k.png"
"44-image_247_safe_4k.png","3840","2893","5413267","C:\xampp\htdocs\MMC\assets\images\real-source\44-image_247_safe_4k.png"
"45-image_248_safe_4k.png","3840","2747","9187919","C:\xampp\htdocs\MMC\assets\images\real-source\45-image_248_safe_4k.png"
"46-image_249_safe_4k.png","3840","2935","13064902","C:\xampp\htdocs\MMC\assets\images\real-source\46-image_249_safe_4k.png"
"47-industrial_photo_clean_4k_preserved_text.png","3840","2934","11348490","C:\xampp\htdocs\MMC\assets\images\real-source\47-industrial_photo_clean_4k_preserved_text.png"
"48-Screenshot 2026-06-20 144331.png","1161","877","1019967","C:\xampp\htdocs\MMC\assets\images\real-source\48-Screenshot 2026-06-20 144331.png"
"49-Screenshot 2026-06-20 144543.png","1162","887","749695","C:\xampp\htdocs\MMC\assets\images\real-source\49-Screenshot 2026-06-20 144543.png"
"50-Screenshot 2026-06-20 145845.png","1166","740","911793","C:\xampp\htdocs\MMC\assets\images\real-source\50-Screenshot 2026-06-20 145845.png"
